customerId,accountOpeningDate,monthlyInflow,monthlyOutflow,requestedLoanAmount,requestedTenure
CUST-101,2022-03-15,15000,7500,80000,18
CUST-102,2021-11-01,22000,9000,120000,24
CUST-103,2023-06-10,9500,4200,40000,12
CUST-104,2020-08-22,35000,14000,200000,36
CUST-105,2022-01-05,18000,8800,90000,18
CUST-106,2023-09-18,11000,5500,55000,12
CUST-107,2021-04-30,28000,11000,150000,30
CUST-108,2024-01-20,7500,3000,25000,6
CUST-109,2022-07-14,42000,20000,250000,36
CUST-110,2023-02-28,13500,6700,60000,18
CUST-111,2021-12-01,25000,18000,130000,24
CUST-112,2022-05-17,8000,3500,30000,12
CUST-113,2020-10-09,50000,22000,300000,48
CUST-114,2023-04-25,16000,9000,70000,18
CUST-115,2021-07-03,19500,8500,100000,24
CUST-116,2022-11-11,6500,2800,20000,6
CUST-117,2020-06-15,45000,25000,280000,36
CUST-118,2023-08-07,12000,5000,50000,12
CUST-119,2021-03-22,32000,16000,180000,30
CUST-120,2022-09-30,9000,4500,35000,12
CUST-121,2024-02-14,5500,3200,18000,6
CUST-122,2021-01-08,38000,17500,220000,36
CUST-123,2023-05-19,14500,8000,65000,18
CUST-124,2022-02-27,21000,10000,110000,24
CUST-125,2020-12-03,55000,28000,350000,48
CUST-126,2023-10-01,10500,5200,45000,12
CUST-127,2021-08-16,29000,13500,160000,30
CUST-128,2022-06-04,7000,3100,22000,6
CUST-129,2020-04-11,48000,24000,320000,48
CUST-130,2023-01-23,17500,9500,85000,18
CUST-131,2022-08-09,11500,7800,55000,12
CUST-132,2021-05-28,26000,12000,140000,24
CUST-133,2023-07-15,8500,5900,35000,12
CUST-134,2020-09-06,40000,19000,240000,36
CUST-135,2022-12-20,13000,6000,58000,18
CUST-136,2021-10-14,23000,10500,125000,24
CUST-137,2023-03-08,9200,4800,38000,12
CUST-138,2022-04-01,34000,16500,195000,36
CUST-139,2021-06-25,16500,11000,75000,18
CUST-140,2024-03-10,6000,2500,15000,6
CUST-141,2020-11-17,52000,27000,330000,48
CUST-142,2022-10-05,12500,5800,52000,18
CUST-143,2021-02-12,27500,13000,155000,30
CUST-144,2023-11-28,8800,6200,42000,12
CUST-145,2020-07-19,44000,21000,265000,36
CUST-146,2022-01-31,15500,7200,72000,18
CUST-147,2021-09-04,31000,15000,175000,30
CUST-148,2023-06-22,10000,8500,48000,12
CUST-149,2020-05-08,46000,23000,290000,48
CUST-150,2022-07-16,20000,9200,105000,24
